state,year,energy_btu
CT,1971,660770.0
DC,1971,192227.0
DE,1971,216325.0
FL,1971,1603057.0
GA,1971,1305275.0
HI,1971,211042.0
IA,1971,841352.0
ID,1971,297493.0
IL,1971,3626688.0
IN,1971,2184587.0
KS,1971,889706.0
KY,1971,1074826.0
LA,1971,2856667.0
MA,1971,1459375.0
MD,1971,1073435.0
ME,1971,340995.0
MI,1971,2720909.0
MN,1971,1119593.0
MO,1971,1291913.0
MS,1971,765301.0
MT,1971,322501.0
NC,1971,1347835.0
ND,1971,191459.0
NE,1971,482962.0
NH,1971,194757.0
NJ,1971,1919350.0
NM,1971,461632.0
NV,1971,193870.0
NY,1971,4133363.0
OH,1971,3756896.0
OK,1971,942838.0
OR,1971,761404.0
PA,1971,3943812.0
RI,1971,230069.0
SC,1971,749231.0
SD,1971,166139.0
TN,1971,1304583.0
TX,1971,7100513.0
US,1971,67255613.0
UT,1971,408040.0
VA,1971,1281610.0
VT,1971,112832.0
WA,1971,1257977.0
WI,1971,1257505.0
WV,1971,755096.0
WY,1971,264193.0
AK,1972,211964.0
AL,1972,1430589.0
AR,1972,725860.0
AZ,1972,595492.0
CA,1972,5709669.0
CO,1972,740855.0
CT,1972,695699.0
DC,1972,181958.0
DE,1972,226448.0
FL,1972,1730274.0
GA,1972,1391743.0
HI,1972,217426.0
IA,1972,883091.0
ID,1972,319731.0
IL,1972,3833254.0
IN,1972,2383665.0
KS,1972,942729.0
KY,1972,1157521.0
LA,1972,3040208.0
MA,1972,1511923.0
MD,1972,1092444.0
ME,1972,367249.0
MI,1972,2892779.0
MN,1972,1180510.0
MO,1972,1349056.0
MS,1972,809594.0
MT,1972,331660.0
NC,1972,1424361.0
ND,1972,199729.0
NE,1972,497611.0
NH,1972,205749.0
NJ,1972,2029139.0
NM,1972,493785.0
NV,1972,209569.0
NY,1972,4155515.0
OH,1972,4008084.0
OK,1972,994638.0
OR,1972,803933.0
PA,1972,4087324.0
RI,1972,231335.0
SC,1972,801954.0
SD,1972,175091.0
TN,1972,1407370.0
TX,1972,7484526.0
US,1972,70744691.0
UT,1972,420848.0
VA,1972,1334357.0
VT,1972,119600.0
WA,1972,1393380.0
WI,1972,1252105.0
WV,1972,804673.0
WY,1972,282588.0
AK,1973,194968.0
AL,1973,1479232.0
AR,1973,801202.0
AZ,1973,648638.0
CA,1973,5890331.0
CO,1973,786248.0
CT,1973,721282.0
DC,1973,186586.0
DE,1973,240308.0
FL,1973,1917545.0
GA,1973,1510176.0
HI,1973,223651.0
IA,1973,941425.0
ID,1973,323593.0
IL,1973,3922291.0
IN,1973,2421144.0
KS,1973,947894.0
KY,1973,1191967.0
LA,1973,3274473.0
MA,1973,1546784.0
MD,1973,1183548.0
ME,1973,365405.0
MI,1973,2982355.0
MN,1973,1228840.0
MO,1973,1384669.0
MS,1973,826443.0
MT,1973,338463.0
NC,1973,1493355.0
ND,1973,198105.0
NE,1973,510150.0
NH,1973,209977.0
NJ,1973,2071090.0
NM,1973,469880.0
NV,1973,225133.0
NY,1973,4305711.0
OH,1973,4098228.0
OK,1973,999851.0
OR,1973,821882.0
PA,1973,4193580.0
RI,1973,226512.0
SC,1973,852344.0
SD,1973,172844.0
TN,1973,1544553.0
TX,1973,8104240.0
US,1973,73788463.0
UT,1973,450046.0
VA,1973,1392677.0
VT,1973,122307.0
WA,1973,1434372.0
WI,1973,1318780.0
WV,1973,821736.0
WY,1973,279112.0
AK,1974,199194.0
AL,1974,1493276.0
AR,1974,777116.0
AZ,1974,650824.0
CA,1974,5651469.0
CO,1974,768388.0
CT,1974,690428.0
DC,1974,164342.0
DE,1974,222261.0
FL,1974,1842485.0
GA,1974,1445621.0
HI,1974,211458.0
IA,1974,925213.0
ID,1974,331607.0
IL,1974,3848522.0
IN,1974,2371441.0
KS,1974,938726.0
KY,1974,1178145.0
LA,1974,3359124.0
MA,1974,1437544.0
MD,1974,1089368.0
ME,1974,340255.0
MI,1974,2832773.0
MN,1974,1205489.0
MO,1974,1361033.0
MS,1974,793510.0
MT,1974,340442.0
NC,1974,1437788.0
ND,1974,199613.0
NE,1974,504806.0
NH,1974,199251.0
NJ,1974,1926195.0
NM,1974,467620.0
NV,1974,224082.0
NY,1974,4005848.0
OH,1974,4064582.0
OK,1974,1035404.0
OR,1974,798882.0
PA,1974,4011866.0
RI,1974,209842.0
SC,1974,821219.0
SD,1974,168036.0
TN,1974,1500823.0
TX,1974,7935781.0
US,1974,71758674.0
UT,1974,464636.0
VA,1974,1334947.0
VT,1974,112344.0
WA,1974,1418747.0
WI,1974,1301845.0
WV,1974,814750.0
WY,1974,273615.0
AK,1975,229676.0
AL,1975,1465789.0
AR,1975,763584.0
AZ,1975,634126.0
CA,1975,5852102.0
CO,1975,765161.0
CT,1975,666939.0
DC,1975,156103.0
DE,1975,212526.0
FL,1975,1853431.0
GA,1975,1438784.0
HI,1975,213754.0
IA,1975,917581.0
ID,1975,343621.0
IL,1975,3756882.0
IN,1975,2314295.0
KS,1975,903571.0
KY,1975,1221092.0
LA,1975,3063639.0
MA,1975,1383944.0
MD,1975,1036139.0
ME,1975,310880.0
MI,1975,2786536.0
MN,1975,1212678.0
MO,1975,1372275.0
MS,1975,748989.0
MT,1975,334512.0
NC,1975,1395969.0
ND,1975,201994.0
NE,1975,511589.0
NH,1975,194707.0
NJ,1975,1831450.0
NM,1975,451285.0
NV,1975,228785.0
NY,1975,3807220.0
OH,1975,3853767.0
OK,1975,1041759.0
OR,1975,826807.0
PA,1975,3807038.0
RI,1975,200800.0
SC,1975,804343.0
SD,1975,176753.0
TN,1975,1530956.0
TX,1975,7353715.0
US,1975,69810078.0
UT,1975,471087.0
VA,1975,1310844.0
VT,1975,110238.0
WA,1975,1387483.0
WI,1975,1301982.0
WV,1975,765574.0
WY,1975,271784.0
AK,1976,251979.0
AL,1976,1503723.0
AR,1976,818585.0
AZ,1976,667849.0
CA,1976,6017642.0
CO,1976,800732.0
CT,1976,721053.0
DC,1976,157938.0
DE,1976,223383.0
FL,1976,1982044.0
GA,1976,1504233.0
HI,1976,219397.0
IA,1976,956316.0
ID,1976,347893.0
IL,1976,3924044.0
IN,1976,2349341.0
KS,1976,952921.0
KY,1976,1344030.0
LA,1976,3492740.0
MA,1976,1464965.0
MD,1976,1115751.0
ME,1976,365850.0
MI,1976,2907725.0
MN,1976,1262619.0
MO,1976,1434811.0
MS,1976,757338.0
MT,1976,354415.0
NC,1976,1499019.0
ND,1976,206149.0
NE,1976,541770.0
NH,1976,219987.0
NJ,1976,2021898.0
NM,1976,501068.0
NV,1976,241868.0
NY,1976,4116948.0
OH,1976,4087540.0
OK,1976,1136324.0
OR,1976,847915.0
PA,1976,4064560.0
RI,1976,210284.0
SC,1976,929387.0
SD,1976,190485.0
TN,1976,1641347.0
TX,1976,7688266.0
US,1976,73944199.0
UT,1976,501641.0
VA,1976,1397442.0
VT,1976,127498.0
WA,1976,1439846.0
WI,1976,1335863.0
WV,1976,802869.0
WY,1976,295007.0
AK,1977,289893.0
AL,1977,1584720.0
AR,1977,867684.0
AZ,1977,720003.0
CA,1977,6232973.0
CO,1977,820659.0
CT,1977,731889.0
DC,1977,158285.0
DE,1977,223234.0
FL,1977,2153266.0
GA,1977,1589996.0
HI,1977,232732.0
IA,1977,961845.0
ID,1977,355486.0
IL,1977,4024163.0
IN,1977,2437182.0
KS,1977,965754.0
KY,1977,1370843.0
LA,1977,3900298.0
MA,1977,1460758.0
MD,1977,1104355.0
ME,1977,383377.0
MI,1977,2813992.0
MN,1977,1233709.0
MO,1977,1476138.0
MS,1977,801880.0
MT,1977,353003.0
NC,1977,1586305.0
ND,1977,206944.0
NE,1977,546830.0
NH,1977,224652.0
NJ,1977,1968184.0
NM,1977,467093.0
NV,1977,250217.0
NY,1977,4111550.0
OH,1977,4101157.0
OK,1977,1203198.0
OR,1977,857121.0
PA,1977,4049871.0
RI,1977,219239.0
SC,1977,972082.0
SD,1977,193013.0
TN,1977,1718508.0
TX,1977,8351949.0
US,1977,76351470.0
UT,1977,478962.0
VA,1977,1450021.0
VT,1977,126197.0
WA,1977,1475954.0
WI,1977,1408203.0
WV,1977,800616.0
WY,1977,320906.0
AK,1978,320731.0
AL,1978,1589735.0
AR,1978,863565.0
AZ,1978,724401.0
CA,1978,6313568.0
CO,1978,831741.0
CT,1978,748555.0
DC,1978,153934.0
DE,1978,220704.0
FL,1978,2244444.0
GA,1978,1634584.0
HI,1978,236388.0
IA,1978,938650.0
ID,1978,357228.0
IL,1978,4103957.0
IN,1978,2477026.0
KS,1978,1017039.0
KY,1978,1351921.0
LA,1978,4047994.0
MA,1978,1439688.0
MD,1978,1122939.0
ME,1978,370296.0
MI,1978,2869501.0
MN,1978,1318580.0
MO,1978,1517527.0
MS,1978,827464.0
MT,1978,372821.0
NC,1978,1606288.0
ND,1978,225184.0
NE,1978,543846.0
NH,1978,226432.0
NJ,1978,1973434.0
NM,1978,467297.0
NV,1978,273496.0
NY,1978,4093007.0
OH,1978,4159091.0
OK,1978,1238677.0
OR,1978,915806.0
PA,1978,4032978.0
RI,1978,207772.0
SC,1978,959296.0
SD,1978,200780.0
TN,1978,1692164.0
TX,1978,8780868.0
US,1978,77987575.0
UT,1978,501158.0
VA,1978,1470097.0
VT,1978,130588.0
WA,1978,1551259.0
WI,1978,1464421.0
WV,1978,785151.0
WY,1978,348783.0
AK,1979,296592.0
AL,1979,1600732.0
AR,1979,849130.0
AZ,1979,761540.0
CA,1979,6565989.0
CO,1979,836818.0
CT,1979,735534.0
DC,1979,146139.0
DE,1979,239047.0
FL,1979,2339943.0
GA,1979,1682673.0
HI,1979,255980.0
IA,1979,1015722.0
ID,1979,370680.0
IL,1979,3956004.0
IN,1979,2527022.0
KS,1979,1112522.0
KY,1979,1384575.0
LA,1979,3996684.0
MA,1979,1276603.0
MD,1979,1187270.0
ME,1979,348846.0
MI,1979,2852154.0
MN,1979,1317715.0
MO,1979,1491649.0
MS,1979,856438.0
MT,1979,386570.0
NC,1979,1671887.0
ND,1979,233000.0
NE,1979,532397.0
NH,1979,203952.0
NJ,1979,1986355.0
NM,1979,472433.0
NV,1979,286643.0
NY,1979,3871143.0
OH,1979,4146177.0
OK,1979,1294922.0
OR,1979,940450.0
PA,1979,4153792.0
RI,1979,196506.0
SC,1979,950123.0
SD,1979,199907.0
TN,1979,1730672.0
TX,1979,9148063.0
US,1979,78844092.0
UT,1979,516471.0
VA,1979,1523603.0
VT,1979,127700.0
WA,1979,1601513.0
WI,1979,1432035.0
WV,1979,799019.0
WY,1979,371915.0
AK,1980,291985.0
AL,1980,1597446.0
AR,1980,834372.0
AZ,1980,729272.0
CA,1980,6383232.0
CO,1980,818498.0
CT,1980,708289.0
DC,1980,146689.0
DE,1980,236880.0
FL,1980,2426745.0
GA,1980,1668806.0
HI,1980,261744.0
IA,1980,959968.0
ID,1980,334792.0
IL,1980,3677167.0
IN,1980,2343506.0
KS,1980,1001634.0
KY,1980,1321263.0
LA,1980,3859310.0
MA,1980,1215036.0
MD,1980,1124055.0
ME,1980,367076.0
MI,1980,2758218.0
MN,1980,1192251.0
MO,1980,1382603.0
MS,1980,812052.0
MT,1980,350058.0
NC,1980,1607409.0
ND,1980,217515.0
NE,1980,494171.0
NH,1980,201554.0
NJ,1980,1995676.0
NM,1980,472378.0
NV,1980,281546.0
NY,1980,3762828.0
OH,1980,3845609.0
OK,1980,1184801.0
OR,1980,909316.0
PA,1980,3902697.0
RI,1980,180800.0
SC,1980,962593.0
SD,1980,185695.0
TN,1980,1656048.0
TX,1980,9217160.0
US,1980,76064555.0
UT,1980,494529.0
VA,1980,1485275.0
VT,1980,121597.0
WA,1980,1570553.0
WI,1980,1427550.0
WV,1980,763814.0
WY,1980,355525.0
AK,1981,275504.0
AL,1981,1560204.0
AR,1981,801407.0
AZ,1981,762578.0
CA,1981,6183021.0
CO,1981,795488.0
CT,1981,676092.0
DC,1981,143116.0
DE,1981,190684.0
FL,1981,2400474.0
GA,1981,1648041.0
HI,1981,236151.0
IA,1981,945569.0
ID,1981,347367.0
IL,1981,3463727.0
IN,1981,2306266.0
KS,1981,927844.0
KY,1981,1253701.0
LA,1981,3911456.0
MA,1981,1185369.0
MD,1981,1109788.0
ME,1981,366431.0
MI,1981,2611653.0
MN,1981,1145104.0
MO,1981,1327220.0
MS,1981,797416.0
MT,1981,327595.0
NC,1981,1572321.0
ND,1981,231283.0
NE,1981,465352.0
NH,1981,193876.0
NJ,1981,1982663.0
NM,1981,464979.0
NV,1981,277180.0
NY,1981,3577832.0
OH,1981,3749271.0
OK,1981,1218882.0
OR,1981,905885.0
PA,1981,3721527.0
RI,1981,170799.0
SC,1981,967265.0
SD,1981,174195.0
TN,1981,1630754.0
TX,1981,8985609.0
US,1981,74195857.0
UT,1981,467798.0
VA,1981,1469642.0
VT,1981,116913.0
WA,1981,1690429.0
WI,1981,1386192.0
WV,1981,745647.0
WY,1981,346244.0
AK,1982,405103.0
AL,1982,1450995.0
AR,1982,768781.0
AZ,1982,717832.0
CA,1982,5899763.0
CO,1982,807902.0
CT,1982,673204.0
DC,1982,156109.0
DE,1982,181170.0
FL,1982,2303770.0
GA,1982,1623407.0
HI,1982,217460.0
IA,1982,941125.0
